date,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose_total
2019-11-01,62798,3328630,83215750,1325.1337622217268,44.171125407390896,88321,4904804,245240200,2776.6918399927536,92.55639466642512,108906,5763943,432295725,3969.4390116247037,132.31463372082345,78775,4292035,429203500,5448.47350047604,181.6157833492013,110617,5426727,814009050,7358.806060551272,245.29353535170907,43922,2039114,407822800,9285.160056463732,309.5053352154577,14329,588979,132520275,9248.39660827692,308.279886942564,111853,4380741,1314222300,11749.548961583507,391.65163205278355,619521,30724973,3858529600,6228.246661533669,207.60822205112228
2019-12-01,64418,3431822,85795550,1331.856779161104,44.3952259720368,90788,5051024,252551200,2781.768515662863,92.7256171887621,111625,5911756,443381700,3972.064501679731,132.40215005599103,81898,4479425,447942500,5469.516960121126,182.31723200403755,114204,5590956,838643400,7343.3802668908265,244.7793422296942,45897,2121652,424330400,9245.275290323987,308.17584301079955,14538,596444,134199900,9230.973999174577,307.69913330581926,116725,4570373,1371111900,11746.514457057187,391.5504819019062,640093,31753452,3997956550,6245.899502103601,208.19665007012003
2020-01-01,66640,3544965,88624125,1329.8938325330132,44.329794417767104,93152,5210402,260520100,2796.7204139470973,93.22401379823658,114777,6103080,457731000,3988.002822865208,132.93342742884028,83409,4567821,456782100,5476.412617343452,182.54708724478175,116263,5716274,857441100,7375.012686753309,245.8337562251103,46942,2177846,435569200,9278.880320395381,309.29601067984606,14949,613680,138078000,9236.6044551475,307.88681517158335,117704,4601333,1380399900,11727.722932100864,390.92409773669544,653836,32535401,4075145525,6232.672298558048,207.75574328526827
2020-02-01,60337,3204122,80103050,1327.5941793592654,44.25313931197551,85873,4785041,239252050,2786.1149604648726,92.87049868216242,104472,5537013,415275975,3974.9978463128878,132.4999282104296,76280,4186309,418630900,5488.082066072365,182.93606886907884,105632,5196110,779416500,7378.602128142987,245.9534042714329,43080,1986395,397279000,9221.889507892294,307.39631692974314,13568,554507,124764075,9195.465433372641,306.5155144457547,106927,4174058,1252217400,11710.956072834737,390.36520242782456,596169,29623555,3706938950,6217.933086088005,207.26443620293352
2020-03-01,67316,3650129,91253225,1355.5948808604196,45.18649602868065,96187,5438945,271947250,2827.2765550438207,94.24255183479403,116700,6296707,472253025,4046.7268637532134,134.89089545844044,85658,4794584,479458400,5597.35693105139,186.5785643683797,117133,5883114,882467100,7533.889680960959,251.12965603203196,47665,2255310,451062000,9463.170040910521,315.43900136368404,15018,621719,139886775,9314.607471034758,310.48691570115864,117912,4698601,1409580300,11954.510991247711,398.483699708257,663589,33639109,4197908075,6326.066398026489,210.8688799342163
2020-04-01,64673,3450337,86258425,1333.762543874569,44.45875146248564,93334,5213141,260657050,2792.7341590417213,93.09113863472405,112166,5985436,448907700,4002.1726726458996,133.40575575486332,83622,4630077,463007700,5536.912534978834,184.56375116596112,113747,5637649,845647350,7434.458491212955,247.81528304043184,47199,2206936,441387200,9351.621856395263,311.7207285465087,14612,602286,135514350,9274.182179030933,309.13940596769777,116042,4585856,1375756800,11855.67984005791,395.18932800193033,645395,32311718,4057136575,6286.284484695419,209.542816156514
2020-05-01,62299,3339485,83487125,1340.103773736336,44.6701257912112,89335,5032502,251625100,2816.6463312251635,93.88821104083878,107946,5817028,436277100,4041.623589572564,134.72078631908548,80599,4487711,448771100,5567.948733855259,185.59829112850863,109034,5445766,816864900,7491.836491369664,249.72788304565546,44897,2109811,421962200,9398.44978506359,313.2816595021197,13933,577514,129940650,9326.107083901528,310.87023613005096,110878,4384857,1315457100,11864.004581612222,395.46681938707405,618921,31194674,3904385275,6308.3742109251425,210.2791403641714
2020-06-01,65942,3520322,88008050,1334.6281580783113,44.48760526927705,94071,5284188,264209400,2808.6168957489554,93.62056319163185,112140,6026138,451960350,4030.3223649010165,134.34407883003388,84155,4685051,468505100,5567.168914503,185.5722971501,113654,5657259,848588850,7466.423091136256,248.88076970454185,46682,2184666,436933200,9359.778929780216,311.99263099267387,14511,594449,133751025,9217.216249741576,307.2405416580525,115521,4548146,1364443800,11811.21873944997,393.707291314999,646676,32500219,4056399775,6272.692623508527,209.0897541169509
2020-07-01,69175,3721255,93031375,1344.8698951933502,44.82899650644501,98390,5542361,277118050,2816.5265779042584,93.88421926347527,117123,6305784,472933800,4037.9242334981172,134.59747444993724,88302,4941032,494103200,5595.605988539331,186.52019961797768,118176,5886745,883011750,7472.005737205524,249.0668579068508,49084,2314806,462961200,9432.018580392796,314.40061934642654,14964,610727,137413575,9182.944065757818,306.0981355252606,119398,4704017,1411205100,11819.336169785089,393.97787232616963,674612,34026727,4231778050,6272.906574445756,209.09688581485852
2020-08-01,63472,3377031,84425775,1330.1262761532644,44.33754253844214,89847,5045611,252280550,2807.890636303939,93.59635454346464,105406,5642296,423172200,4014.6879684268447,133.82293228089483,80395,4466986,446698600,5556.298277256048,185.2099425752016,107738,5337733,800659950,7431.546436726132,247.71821455753772,44613,2082069,416413800,9333.911640104901,311.1303880034967,13591,556211,125147475,9208.113825325583,306.93712751085275,109206,4264283,1279284900,11714.419537388056,390.4806512462685,614268,30772220,3828083250,6231.943142081306,207.73143806937688
2020-09-01,68622,3658202,91455050,1332.73658593454,44.42455286448467,97468,5468470,273423500,2805.264291870152,93.50880972900508,114439,6161958,462146850,4038.368475781858,134.61228252606193,87814,4914679,491467900,5596.691871455577,186.5563957151859,115512,5747673,862150950,7463.73493662996,248.79116455433203,48594,2272965,454593000,9354.920360538337,311.83067868461126,14475,593416,133518600,9224.082901554404,307.46943005181345,116634,4576989,1373096700,11772.696640773702,392.4232213591234,663558,33394352,4141852550,6241.884733512368,208.06282445041228
